run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,35,0.14472345624651228,137,113.0253125,1.1974278071096964
2,113,0.06719628899498323,984,2227.998,0.5296143385688815
3,94,0.05850660040023479,999,1213.61025,1.90110111751772
4,91,0.053563353779551744,999,1289.70975,0.411212132527278
5,61,0.09669681455268235,210,179.406640625,0.5982642747828217
6,35,0.18642193930489676,104,73.7784375,1.2277658628565924
7,111,0.047995696196684964,796,806.6064375,0.3884760962278993
8,24,0.2056860327720642,111,65.2215625,1.7730700032164652
9,127,0.04979682907344788,999,1844.948625,0.5444165455309424
10,72,0.07758554485109118,72,98.560421875,1.1792168179526925
