run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,106,0.12988287752993524,5000,2070.1201140880585,0.33272988119589547
2,35,0.29944973570827366,5000,1606.204268693924,0.7536045034368574
3,31,0.36155262169889113,5000,1596.0138280391693,0.939954019074569
4,34,0.3666110088217715,5000,1223.0953378677368,0.9459946523534432
5,73,0.16261486492723962,5000,2028.802409172058,0.4168986288664617
6,50,0.24851496427145903,5000,1649.3715069293976,0.6380907538053681
7,47,0.22470686636078344,5000,1621.4274017810822,0.5811316546232453
8,45,0.23338457544641175,5000,1532.5405309200287,0.600305771649459
9,59,0.1980286880734759,5000,1515.4772608280182,0.5124435620335118
10,50,0.21276781486879132,5000,1536.539948940277,0.5462516270768084
