run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,86,0.12872450504663627,5000,2877.6963024139404,0.32914794418364324
2,96,0.11235543633110888,5000,2330.168935060501,0.28260236885323065
3,70,0.16721857719261896,5000,1952.5556709766388,0.42412282519444866
4,76,0.1644082253324973,5000,2788.168891429901,0.4241601871248707
5,67,0.15018582792237734,5000,5883.617582559586,0.3851075974866995
6,77,0.15061893580761684,5000,2334.054829597473,0.3814183390279758
7,129,0.09051506888991943,5000,2404.86288189888,0.2301605829936552
8,40,0.2557943927248855,5000,2043.3302192687988,0.6642676600756814
9,48,0.2326959021938768,5000,1872.0513117313385,0.6191641818829559
10,121,0.09752682113253665,5000,2617.012130022049,0.24816502247620617
