run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,571,0.010351923360453023,1999,12609.56,1.004765260296982
2,493,0.00978791074054996,1999,14566.89,0.3041196189493667
3,964,0.005040750676935369,1999,12205.59925,1.266457000374794
4,499,0.001435755817830062,1999,11669.564,0.2054230228066444
5,595,0.005112179814552775,1999,10345.09625,1.0832599862315216
6,499,0.001014361017400568,1999,9873.175,0.019084507089394
7,693,0.005398021100515342,1999,9802.5005,1.015385074543666
8,490,0.005260196685791016,1999,9997.21375,0.6052664834159341
9,482,0.01027699089050293,1999,12996.998125,1.90441245237986
10,498,0.00082294393468786,1999,8042.97975,1.0032127159613
