run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,92,0.12799366660740064,1999,6712.867,0.7142936367055644
2,51,0.2311688591452206,1999,3815.146,1.4664186191032915
3,67,0.1840181493047458,1999,4879.6915,0.6712512661939236
4,100,0.12498600006103516,1999,7030.0895,2.1519835285842417
5,57,0.2006337851808782,1999,4310.4635,0.7135695613789976
6,123,0.09323391487927941,1999,9183.247,0.9005855526320818
7,114,0.09286848704020183,1999,6698.9015,1.5118401252517575
8,132,0.10072087519096606,1999,3181.62725,1.456001783467152
9,109,0.11617158312316335,1999,2972.6725,1.6034334303999165
10,192,0.050717487931251526,1999,4871.64,0.7877410428482108
