run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,179,0.06587599642449916,1999,1262.242875,1.0788833789381735
2,206,0.06668272296201835,1999,1566.0065,1.1167091917499756
3,194,0.06418883923402767,1999,1381.381,1.1792434318202365
4,360,0.039430024888780384,1999,2252.1645,1.0031330932345655
5,92,0.12500901844190515,1999,547.74875,1.1367599088698626
6,500,0.02249309539794922,483,836.7235625,1.0265336457155645
7,500,0.02117976760864258,101,173.243734375,1.2285308602508158
8,108,0.10162069179393628,1999,883.1031875,1.402104917568741
9,203,0.05507083949197102,1999,1379.164875,0.9650104639620469
10,442,0.0284268607920651,101,165.35915625,1.8910656031684705
