run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,25,0.39700443267822266,126,10.1121572265625,1.2629196268320084
2,31,0.3312187194824219,2000,174.21625,1.222939322312032
3,45,0.24763435787624782,1048,143.405828125,0.7866068647967445
4,31,0.3543279094080771,160,15.5473564453125,1.2975355357893052
5,30,0.4124629020690918,461,41.14769921875,1.4802983996768793
6,31,0.42633524248676913,80,11.8696650390625,1.1883669606139582
7,45,0.24000704023573133,67,11.76582421875,1.1368362860547172
8,32,0.32607102394104004,161,15.6254521484375,1.2574134462047368
9,27,0.40721716704191985,653,53.29990234375,1.4321550743447409
10,21,0.5292526426769438,126,10.962611328125,1.7517243737266177
