run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,145,0.09147553279482085,1999,3387.62025,0.7286513697227527
2,41,0.3308916789729421,1999,1136.590625,1.455291360616684
3,154,0.08060813259768795,1999,4029.6915,0.3018534696818172
4,115,0.12215199677840523,1999,2615.68925,1.7143599355998247
5,62,0.1898027543098696,1999,1715.123375,0.8682509886641656
6,87,0.12017322408741918,1999,1929.828375,0.7086545851552624
7,52,0.18389360721294695,1999,1420.913625,1.0472932151303842
8,76,0.15881523333097758,1999,2085.05175,1.671178102395252
9,95,0.1329537542242753,1999,2704.19,0.6845215931534767
10,61,0.18775586612889025,1999,1630.882625,1.767563745379448
