run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,56,0.23594045639038086,173,34.38115625,1.277368492712932
2,83,0.15443095241684512,601,110.2600625,0.5381083468715828
3,95,0.12516796714381168,449,128.6148828125,0.8391489457535116
4,24,0.4374086856842041,89,8.93895703125,1.8512107313921053
5,67,0.17012626021655639,508,103.5766796875,0.7134084604791741
6,50,0.22231674194335938,85,9.9364609375,0.8165020099282265
7,37,0.26690575883195206,96,11.200568359375,1.3691078384180326
8,127,0.11221470419816144,532,183.670015625,0.7286334230498536
9,82,0.16913607062363042,334,85.4231953125,1.7308409552021724
10,170,0.07142417010139017,383,113.2537109375,0.45560379701063913
