run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,139,0.08272283540355216,999,339.846625,0.9624452670004299
2,254,0.054605836943378595,859,501.87846875,1.0258078805251618
3,92,0.12857746041339377,251,118.7615078125,0.864681688785229
4,44,0.27116580442948773,101,17.13146875,1.180573066019199
5,99,0.1263489578709458,142,45.28411328125,0.9616167949079865
6,180,0.06597373750474718,999,457.631,0.4108365838519401
7,116,0.10111368113550646,999,333.14875,0.3272408832603231
8,41,0.2524535481522723,94,13.2983056640625,0.8813623697837678
9,230,0.04930217991704526,999,646.7926875,0.2318552558755745
10,136,0.08923891011406393,296,202.9354375,0.5543466322671842
