run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,120,0.2518996519656434,5000,1874.4696061611176,0.1790675695941976
2,79,0.250396648577091,5000,1396.901552438736,0.0352439142335907
3,143,0.07983770126911489,5000,1607.3333501815796,0.02839640153752952
4,67,0.1054487084512268,5000,1280.250400543213,0.0544999749925799
5,74,0.05284046173703633,5000,1301.273098230362,0.1631452749161682
6,125,0.1287987978407696,5000,1361.383365869522,0.13323857318788379
7,285,0.06808430995810867,5000,1951.3020641803741,0.17177887515457305
8,130,0.10542386979013665,5000,1537.4275302886963,0.26809760764119245
9,179,0.012560941548158783,5000,1305.5815126895905,0.32166773474553945
10,147,0.0771489050643316,5000,1677.7836728096008,0.19609213092866454
