run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,134,0.08971311085259737,1999,1006.3435625,1.2546093050501685
2,120,0.0918731689453125,1999,881.6750625,2.1785904260352256
3,164,0.07352303295600705,1999,1010.6984375,1.4571316368968747
4,321,0.03718460534591912,1999,2300.5585,1.5250060276311135
5,143,0.07850894394454423,1999,1153.87175,0.8759160034775317
6,152,0.08419844978734066,1999,2047.9435,1.5606430436141396
7,293,0.046552801294945205,101,98.1521328125,2.0507277518815963
8,115,0.1092859931614088,1999,740.6973125,1.1620199548161547
9,351,0.036388274950858876,1999,2594.633,1.2091688313693911
10,129,0.10071614731189817,1999,920.77225,1.975372232179078
