run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,13,0.4193108632014348,286,12.6038427734375,2.3431962682650638
2,19,0.2408780800668817,885,49.0588046875,1.2569118487207513
3,56,0.12578229393277848,1547,320.72009375,0.7074742604579244
4,55,0.1195404659618031,456,91.5902421875,0.7569923795082353
5,47,0.1185185249815596,2000,274.85784375,0.6232102979370888
6,26,0.26879103367145246,258,33.26766015625,1.5658733535271425
7,26,0.22188278344961312,1145,87.2268359375,1.2152282687333913
8,19,0.28938343650416326,101,21.286595703125,1.6365732793745242
9,31,0.1827856340715962,1086,105.336578125,0.9635076176735663
10,26,0.21236307804401106,923,71.53,1.2120305087703924
