run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,494,0.02651050505850479,101,108.259609375,1.4217081259114117
2,345,0.03576719864555027,607,477.13909375,1.293857336702986
3,232,0.04680151774965484,1999,1147.785125,1.1203512613147755
4,215,0.057602594065111735,1999,949.2250625,1.4900320868679258
5,474,0.0202612695814688,101,102.814171875,1.0389251981818663
6,169,0.06253291587152425,1999,721.37825,1.3129878926074363
7,269,0.03786123906812703,1999,1243.339375,1.3636767935478664
8,253,0.03766893680858989,1999,1119.4065,1.3897907138754257
9,500,0.027348175048828124,101,113.636265625,1.1012833599988372
10,363,0.03555800172579847,1999,1554.146125,1.1849738481164636
