run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,79,0.22303989265538468,2000,597.4175,0.5588324336248611
2,101,0.18303961801056814,80,41.5046484375,0.46823915172823194
3,75,0.19012889862060547,148,53.83740234375,0.6754542848798963
4,76,0.25837290914435135,2000,513.7800625,0.5673486576333904
5,41,0.4985252938619474,2000,263.750125,0.9389897669718518
6,75,0.26259292602539064,2000,503.341875,0.6985961080590883
7,39,0.4955240885416667,382,62.233,1.0920610193513398
8,47,0.32114097919869933,164,36.818625,0.8542082988201304
9,54,0.353237717239945,991,163.70009375,0.9025742935453668
10,54,0.3223883310953776,1071,205.12703125,1.0670768287906676
