run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,37,0.29978422216466954,1491,189.24153125,0.977424442969464
2,167,0.07520932637288899,2000,997.049375,0.3619961206338363
3,108,0.10479975629735876,135,67.6501953125,0.8852785700863158
4,56,0.22090721130371094,2000,383.9984375,0.6121367462910712
5,162,0.06476459385436258,753,348.6605625,0.253432995662737
6,91,0.12395668029785156,2000,550.2835,0.35751106033285895
7,279,0.040513035217066395,903,709.8876875,0.16259220470824548
8,95,0.11770115902549343,2000,593.0053125,0.33381908297734825
9,108,0.11621319806134259,2000,601.440125,0.3471001079995875
10,92,0.12782662847767706,110,51.73361328125,0.7697688375964112
