run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,56,0.22115501335689,322,451.5885625,1.1616312294666256
2,73,0.18069134019825556,120,128.4525546875,1.3397945036014465
3,94,0.14406837301051362,119,120.5096328125,1.5683636865875823
4,76,0.16368020208258377,152,124.164109375,0.56562863094242
5,54,0.17436159981621635,94,55.48209765625,1.3254382579966828
6,29,0.389856009647764,191,173.720296875,2.0076005885313295
7,25,0.48128440856933596,95,49.8038828125,2.2457463747262953
8,115,0.1272566339244013,273,331.97253125,0.7343599162024
9,49,0.2275434805422413,95,61.47645703125,1.5013999481286322
10,74,0.16247437451336835,325,316.19665625,1.2607235519869908
