run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,384,0.03651050505850479,81,78.259609375,1.6217081259114117
2,205,0.05576719864555027,497,457.13909375,1.093857336702986
3,112,0.09680151774965484,1999,1107.785125,1.2203512613147755
4,105,0.17602594065111735,1999,849.2250625,1.5900320868679258
5,424,0.202612695814688,181,182.814171875,1.1389251981818663
6,209,0.16253291587152425,1999,621.37825,1.4129878926074363
7,139,0.13786123906812703,1999,1043.339375,1.4636767935478664
8,103,0.23766893680858989,1065,919.4065,1.4897907138754257
9,392,0.17348175048828124,101,83.636265625,1.2012833599988372
10,213,0.09555800172579847,1999,1054.146125,1.2849738481164636
