run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,224,0.052857854536601474,1999,5465.6625,0.8927388212261056
2,377,0.03368195045531903,1999,8925.432,0.509471709975869
3,573,0.019539245552209452,1999,16108.044,0.0791312757079826
4,584,0.018106094778400576,1999,18126.284,0.33194852810295633
5,198,0.056506807153875176,1999,5547.6645,1.3416640766792827
6,492,0.023151533390448346,1999,14302.016,0.31766204321302655
7,145,0.08049354553222657,1999,6873.105,1.2714310492677936
8,446,0.026645993972573046,1999,26877.012,0.17372612351125666
9,165,0.0673148877692945,1999,12477.852,0.2859118580818176
10,137,0.08202406611755816,1999,7500.3275,1.0601657918606797
