run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,149,0.08782715765421822,1999,1141.047125,1.7011635434507524
2,199,0.062358223613183106,1999,1559.392625,1.185772880911827
3,298,0.045875094880993735,101,113.7660625,2.0850906903111697
4,82,0.1429077939289372,1999,618.0594375,1.2385955556500248
5,261,0.05017266693699862,1999,3034.678,1.1186009517860138
6,500,0.026944622039794922,101,193.13696875,1.078908598523587
7,199,0.0707457221333106,1999,1613.322625,1.2419065057707193
8,264,0.04168134747129498,1999,1963.389625,1.0311919904920752
9,211,0.05982491642377953,1999,1499.85925,1.3056022139063097
10,112,0.10351126534598214,1999,925.008,1.5128362702338822
