run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,105,0.24778457001021847,5000,3071.177497148514,0.25153473291188655
2,138,0.22216042273643605,5000,2662.753806591034,0.2274499494106711
3,145,0.21743126326228177,5000,2602.2769734859467,0.22148435772231875
4,130,0.22311023720632933,5000,2897.1390268802643,0.22565087699868705
5,105,0.29900805540491787,5000,2642.3614497184753,0.30118849149495885
6,106,0.25820812483353067,5000,3277.62655377388,0.2610994310050389
7,124,0.23621807309026951,5000,4112.169958591461,0.23754859965456188
8,119,0.25691633755408505,5000,3046.0576112270355,0.2632423743869341
9,105,0.28876033840350607,5000,3116.4218595027924,0.2920837535704552
10,106,0.2522148667334207,5000,3202.11648106575,0.2554619023164208
