run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,181,0.06674834935112556,5000,1997.3083832263947,0.16855432255690156
2,62,0.19090653878109065,5000,1648.1744027137756,0.4808819963661809
3,59,0.2438578335744719,5000,1366.8666820526123,0.6194034391560539
4,74,0.17863221848843358,5000,1458.7563288211823,0.460362818123371
5,83,0.15846127783768657,5000,1493.0388009548187,0.40943992157406905
6,105,0.10867320574329546,5000,1728.1163566112518,0.27425998587996075
7,41,0.27138370042109744,5000,1331.0242185592651,0.6992287484301768
8,117,0.12134137059918254,5000,1538.3323526382446,0.3068957068323019
9,81,0.1334936985994198,5000,1548.227425813675,0.3399233144800438
10,86,0.15728110123023814,5000,1466.1927223205566,0.4043454178018599
