run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,197,0.05909713512749842,707,3937.083,1.2695712627190623
2,499,0.020001180186300337,999,3754.674,0.1377966380202191
3,450,0.021838035583496094,999,5459.8305,0.35595123723770183
4,385,0.03126392364501953,999,4733.6205,0.5256750253646018
5,352,0.0307588360526345,424,1026.04975,0.10693004591369325
6,220,0.058584464680064806,999,5621.7305,0.25989813130687583
7,406,0.031470228298544296,999,4413.1625,0.2454079648599102
8,119,0.09536414587197184,972,3128.867,0.4700601938329324
9,371,0.03227733344723272,677,3437.93825,0.36712127881290296
10,367,0.03624842797053283,999,5637.362,0.19048009746852623
