run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,111,0.22244941436492646,1999,7958.723,0.9514337815344334
2,97,0.22730577606515787,1999,6858.077,1.116777665913105
3,143,0.16434022596666029,1999,10154.776,0.40148410914869576
4,383,0.06139807539260107,1999,24808.772,0.6293555394048479
5,113,0.2267244727210661,1999,3164.671,1.1061478406190872
6,96,0.27062610785166424,1999,2743.40175,0.7602563761174679
7,304,0.08303127163334896,1999,8382.1845,0.9844250476330911
8,150,0.16910120646158855,1999,3662.95275,0.6526191743959984
9,160,0.14035232067108155,1999,4390.9245,0.4456207938492298
10,163,0.13910256134220428,1999,4143.363,0.9073617067188025
