run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,205,0.0531953966423236,5000,4690.564261198044,0.13389762713001588
2,269,0.04378387005750275,5000,4645.081882715225,0.10992734773169048
3,265,0.04793619920856718,5000,5073.049886465073,0.12072860792671247
4,105,0.1238231129414579,5000,2997.895654439926,0.324416477401273
5,68,0.17521811273527207,5000,2643.1441073417664,0.4468218897012614
6,163,0.07616262935555966,5000,3820.210690975189,0.19418659112414854
7,249,0.04847213647271099,5000,4182.415911197662,0.12187947120004154
8,180,0.0632139488582049,5000,3634.8374145030975,0.16021607634607984
9,98,0.1371511732726174,5000,3067.7542996406555,0.3506975161902
10,89,0.12120174107033156,5000,3774.8920073509216,0.30586094784094064
