run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,23,0.4547258344004615,5000,1188.5310304164886,1.167188713781394
2,35,0.3016961203705915,5000,1235.8278238773346,0.7757271141137457
3,23,0.46513188673628464,5000,1098.7300107479095,1.2224704515802356
4,22,0.5159533461067114,5000,1157.6398854255676,1.3634855277628335
5,43,0.2618402448137661,5000,1206.2560963630676,0.6979043431867612
6,36,0.3463270581912021,5000,1344.995513677597,0.8929009578673325
7,49,0.2612194223098122,5000,1375.5993626117706,0.6615920221309463
8,37,0.3721484777102524,5000,1247.2105827331543,0.9593319777023762
9,24,0.46729251334409505,5000,1147.578155040741,1.1884682507701205
10,38,0.2807406626870302,5000,1332.4925837516785,0.7174964753836504
