run_index,time_steps,avg_task_reduction,convergence_episode,total_training_time,avg_transmission_rate
1,129,0.25824773034384085,1999,3362.73925,0.6988046675920486
2,270,0.10615422284161603,1999,7156.8025,0.485584928707944
3,284,0.10553212232992683,1999,6873.0425,0.35322533673278883
4,236,0.12277751857951535,1999,5812.5445,0.553034468525547
5,173,0.16803624588630103,101,254.121171875,0.9618060000111602
6,301,0.10011227503171395,1999,8063.5185,0.31981639201409395
7,343,0.08018847874232701,1999,8957.595,0.42445811675562806
8,321,0.0934404569251515,1999,7527.97,0.2623594963661978
9,239,0.11772795800883401,1999,6554.701,0.40074230562194124
10,110,0.2906110936945135,1999,2911.1355,0.9306135773658752
